"id","breedtegraad","lengtegraad","weergavenaam","plaatsnaam","landcode","landnaam","status","status_uitleg","statusvolgorde","markerkleur","actief","oppervlakte_ha","oppervlakte","markergrootte","ontstaansdatum","ontstaansdatum_iso","duur_dagen","duur","detecties_24u","detecties_7d","uren_sinds_update","brandgevaar","status_bijgewerkt","bron_bijgewerkt_utc","opgehaald_utc","bron","bron_url"
"592454",36.2246,36.6362,"Hatay","Hatay","TR","Turkije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",12,"12 hectare",0.89,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,19,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.805Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592371",33.2445,35.7204,"Bosbrand in Israël",,"IL","Israël","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",22,"22 hectare",1.02,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,21,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.806Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592405",38.3261,37.9259,"Malatya","Malatya","TR","Turkije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",11,"11 hectare",0.87,"2 augustus 2026","2026-08-02",2,"2 dagen",0,,20,"Extreem","4 augustus 2026 om 07:42","2026-08-04T05:42:33.806Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592481",41.0477,-8.4705,"Canedo, Vale e Vila Maior","Canedo, Vale e Vila Maior","PT","Portugal","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",4,"4 hectare",0.65,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,15,"Gemiddeld","4 augustus 2026 om 07:42","2026-08-04T05:42:33.806Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592424",45.6585,13.8475,"Trieste","Trieste","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",22,"22 hectare",1.02,"1 augustus 2026","2026-08-01",3,"3 dagen",1,,20,"Gemiddeld","4 augustus 2026 om 07:42","2026-08-04T05:42:33.806Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591813",42.0653,-8.3979,"Barbeita","Barbeita","PT","Portugal","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",38,"38 hectare",1.14,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,23,"Laag","4 augustus 2026 om 07:42","2026-08-04T05:42:33.807Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"591814",39.8321,-6.3105,"Casas de Millán","Casas de Millán","ES","Spanje","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",1471,"1.471 hectare",1.93,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,23,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.807Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592065",39.7523,16.132,"Lungro","Lungro","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",5,"5 hectare",0.7,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,22,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.807Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592464",38.0251,13.1287,"Borgetto","Borgetto","IT","Italië","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",34,"34 hectare",1.12,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,17,"Zeer hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.807Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
"592433",42.9904,22.869,"Bosbrand in Bulgarije",,"BG","Bulgarije","Niet onder controle","Volgens de laatste beschikbare bronupdate was deze brand nog niet onder controle.",1,"#AA3228","Ja",8,"8 hectare",0.8,"1 augustus 2026","2026-08-01",3,"3 dagen",0,,20,"Hoog","4 augustus 2026 om 07:42","2026-08-04T05:42:33.808Z","2026-08-04T05:57:47Z","FireMap.live (EFFIS en NASA FIRMS)","https://firemap.live/"
